"TestName","Expected","Actual","Pass","Notes"
"E08 â€” Leaf NULL to not_started (D03 setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E09 â€” Leaf not_started to in_progress (D03 setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E10 â€” D03 Leaf in_progress to complete (no parent check)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E11 â€” D09 Limb in_progress to in_progress (NOOP)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E12 â€” D12 Leaf NULL to in_progress (skip rejection)","{""ok"":false,""error_code"":""INVALID_TRANSITION""}","ok=False error=INVALID_TRANSITION","PASS",""
"E13 â€” Leaf 2 NULL to not_started (D06 setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E14 â€” Leaf 2 not_started to in_progress (D06 setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E15 â€” D06 Leaf in_progress to not_started (backward rejection)","{""ok"":false,""error_code"":""INVALID_TRANSITION""}","ok=False error=INVALID_TRANSITION","PASS",""
"E16 â€” D07 Leaf complete to in_progress (terminal rejection)","{""ok"":false,""error_code"":""INVALID_TRANSITION""}","ok=False error=INVALID_TRANSITION","PASS",""
"E17 â€” Branch not_started to in_progress (D08 setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E18 â€” Branch in_progress to blocked (D08 setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E19 â€” D08 Branch blocked to complete (skip rejection)","{""ok"":false,""error_code"":""INVALID_TRANSITION""}","ok=False error=INVALID_TRANSITION","PASS",""
"F01 â€” Project QUERY without rollup flag (backward compat)","{""ok"":true,""error_code"":null,""rollup_absent"":true}","SKIPPED","SKIP","Unresolved: KGB_PROJECT_ID"
"F02 â€” Project rollup with zero leaves","{""ok"":true,""error_code"":null,""rollup_present"":true,""total_active_children_count"":0,""completed_children_count"":0,""completion_ratio"":null}","SKIPPED","SKIP","Unresolved: KGB_PROJECT_ID"
"F03 â€” Project rollup with branches and leaves","{""ok"":true,""error_code"":null,""rollup_present"":true}","ok=True error=none","PASS",""
"F04 â€” Rollup flag on non-project type (ignored)","{""ok"":true,""error_code"":null,""rollup_absent"":true}","SKIPPED","SKIP","Unresolved: KGB_SNAPSHOT_ID"
"F05 â€” Rollup with hydrate=false combination","{""ok"":true,""error_code"":null,""rollup_present"":true,""extension_null"":true}","SKIPPED","SKIP","Unresolved: KGB_PROJECT_ID"
"F06 â€” T70 Create Project for Rollup Tests","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"F07 â€” T70 Create Branch (child of project)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"F08 â€” T70 Create Leaf 1 (complete, child of branch)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"F09 â€” T70 Create Leaf 2 (in_progress, child of branch)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"F10 â€” T70 Create Leaf 3 (no execution_status, child of branch)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"F11 â€” T70 Branch rollup (1/3 complete)","{""ok"":true,""error_code"":null,""rollup_present"":true,""total_active_children_count"":3,""completed_children_count"":1,""completion_ratio"":0.333}","ok=True error=none","PASS",""
"F12 â€” T70 Project rollup (0/1 branch complete)","{""ok"":true,""error_code"":null,""rollup_present"":true,""total_active_children_count"":1,""completed_children_count"":0,""completion_ratio"":0}","ok=True error=none","PASS",""
"F13 â€” T70 Update Leaf 2 to complete","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"F14 â€” T70 Branch rollup (2/3 complete)","{""ok"":true,""error_code"":null,""rollup_present"":true,""total_active_children_count"":3,""completed_children_count"":2,""completion_ratio"":0.667}","ok=True error=none","PASS",""
"F15a â€” T70 Leaf 3 NULL to not_started","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"F15b â€” T70 Leaf 3 not_started to in_progress","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
